Company Name,Scrip Code
alok industries ltd.,521070
alpa laboratories ltd.,532878
alphageo (india) ltd.,526397
alphalogic industries ltd.,543937
alphalogic techsys ltd.,542770
alpine housing development corporation ltd.,526519
alps industries ltd.,530715
alps motor finance ltd.,538423
alstone textiles (india) ltd.,539277
alufluoride ltd.,524634
amal ltd.,506597
amalgamated electricity company ltd.,501622
amanaya ventures ltd.,543804
amanta healthcare ltd.,544502
amara raja energy & mobility ltd.,500008
amarjothi spinning mills ltd.,521097
amarnath securities ltd.,538465
amba enterprises ltd.,539196
ambalal sarabhai enterprises ltd.,500009
ambar protein industries ltd.,519471
ambassador intra holdings ltd.,542524
amber enterprises india ltd.,540902
amber fabrics ltd.,536820
ambica agarbathies & aroma industries ltd.,532335
ambika cotton mills ltd.,531978
ambition mica ltd.,539223
ambitious plastomac company ltd.,526439
ambo agritec ltd.,543678
ambuja cements ltd.,500425
amco india ltd.,530133
amd industries ltd.,532828
amerise biosciences ltd.,531681
amforge industries ltd.,513117
amic forging ltd.,544037
amin tannery ltd.,541771
amines & plasticizers ltd.,506248
amit international ltd.,531300
amit securities ltd.,531557
amj land holdings ltd.,500343
amkay products ltd.,544169
ampvolts ltd.,535719
amrapali capital & finance services ltd.,536737
amrapali fincap ltd.,539265
amrapali industries ltd.,526241
amraworld agrico ltd.,531991
amrutanjan health care ltd.,590006
ams polymers ltd.,540066
amwill health care ltd.,544353
anand projects ltd.,501630
anand rathi wealth ltd.,543415
anand rayons ltd.,542721
anant raj ltd.,515055
andhra cements ltd.,532141
andhra paper ltd.,502330
andhra petrochemicals ltd.,500012
andhra sugars ltd.,590062
andrew yule & company ltd.,526173
aneri fincap ltd.,531252
ang lifesciences india ltd.,540694
angel fibers ltd.,541006
angel one ltd.,543235
anik industries ltd.,519383
anirit ventures ltd.,530705
anjani finance ltd.,531878
anjani foods ltd.,511153
anjani portland cement ltd.,518091
anjani synthetics ltd.,531223
anka india ltd.,531673
ankit metal & power ltd.,532870
anlon healthcare ltd.,544497
anmol india ltd.,542437
anna infrastructures ltd.,530799
annvrridhhi ventures ltd.,538539
ans industries ltd.,531406
ansal buildwell ltd.,523007
ansal housing ltd.,507828
ansal properties & infrastructure ltd.,500013
antarctica ltd.,526715
antelopus selan energy ltd.,530075
anthem biosciences ltd.,544449
antony waste handling cell ltd.,543254
anuh pharma ltd.,506260
anup malleables ltd.,506087
anupam finserv ltd.,530109
anupam rasayan india ltd.,543275
anuroop packaging ltd.,542865
apar industries ltd.,532259
apcotex industries ltd.,523694
apeejay surrendra park hotels ltd.,544111
apex capital and finance ltd.,541133
apex frozen foods ltd.,540692
apis india ltd.,506166
apl apollo tubes ltd.,533758
aplab ltd.,517096
apm industries ltd.,523537
apollo finvest (india) ltd.,512437
apollo hospitals enterprise ltd.,508869
apollo ingredients ltd.,503639
apollo micro systems ltd.,540879
apollo pipes ltd.,531761
apollo tricoat tubes ltd.,538566
apollo tyres ltd.,500877
apoorva leasing finance & investment co. ltd.,539545
apt packaging ltd.,506979
